time,cl,cl/1000,p' (cl),p'(cl/1000),SPL (cl),SPL (cl/1000)
0,0,0,0,0,#NUM!,#NUM!
0.001,-18.5501725,-0.018550172,-4.343895771,-0.004343896,106.736988,46.73698801
0.002,-17.42780305,-0.017427803,-4.081070404,-0.00408107,106.1948818,46.19488183
0.003,-17.48092785,-0.017480928,-4.093510642,-0.004093511,106.2213186,46.22131856
0.004,-17.54271983,-0.01754272,-4.107980477,-0.00410798,106.2519675,46.2519675
0.005,-17.57087552,-0.017570876,-4.114573698,-0.004114574,106.265897,46.265897
0.006,-17.62653941,-0.017626539,-4.127608518,-0.004127609,106.2933701,46.29337009
0.007,-16.35984606,-0.016359846,-3.830986807,-0.003830987,105.6456132,45.64561322
0.008,-15.04588846,-0.015045888,-3.523297222,-0.003523297,104.9183857,44.91838571
0.009,-13.78201041,-0.01378201,-3.227334773,-0.003227335,104.1562804,44.15628043
0.01,-12.52470379,-0.012524704,-2.932911154,-0.002932911,103.3253782,43.32537823
0.011,-11.27428033,-0.01127428,-2.640099366,-0.002640099,102.4118055,42.41180554
0.012,-10.03773349,-0.010037733,-2.350537066,-0.002350537,101.4027422,41.40274217
0.013,-8.8519439,-0.008851944,-2.072860599,-0.002072861,100.310802,40.31080202
0.014,-7.729794707,-0.007729795,-1.810086808,-0.001810087,99.13338815,39.13338815
0.015,-6.669091028,-0.006669091,-1.561701721,-0.001561702,97.85136186,37.85136186
0.016,-5.717413781,-0.005717414,-1.338847364,-0.001338847,96.51402144,36.51402144
0.017,-4.816711266,-0.004816711,-1.127929764,-0.00112793,95.02504123,35.02504123
0.018,-3.982322635,-0.003982323,-0.932540894,-0.000932541,93.3727578,33.3727578
0.019,-3.217696364,-0.003217696,-0.753488283,-0.000753488,91.52093015,31.52093015
0.02,-2.48272718,-0.002482727,-0.581380475,-0.00058138,89.26860893,29.26860893
0.021,-1.899439253,-0.001899439,-0.444791882,-0.000444792,86.94253713,26.94253713
0.022,-1.394580881,-0.001394581,-0.326569146,-0.000326569,84.2589031,24.2589031
0.023,-0.956291861,-0.000956292,-0.223934962,-0.000223935,80.98183815,20.98183815
0.024,-0.565969403,-0.000565969,-0.132533112,-0.000132533,76.42588803,16.42588803
0.025,-0.221886668,-0.000221887,-0.051959223,-5.20E-05,68.29265312,8.292653116
0.026,0.076523629,7.65E-05,0.017919546,1.79E-05,59.04594013,-0.954059875
0.027,0.33124027,0.00033124,0.077566568,7.76E-05,71.77289156,11.77289156
0.028,0.545370054,0.00054537,0.127709361,0.000127709,76.1038547,16.1038547
0.029,0.722505782,0.000722506,0.169189252,0.000169189,78.54685549,18.54685549
0.03,0.86650101,0.000866501,0.202908629,0.000202909,80.12541043,20.12541043
0.031,0.981016529,0.000981017,0.22972474,0.000229725,81.20355545,21.20355545
0.032,1.069436265,0.001069436,0.250429998,0.00025043,81.9531271,21.9531271
0.033,1.134871016,0.001134871,0.265752861,0.000265753,82.46895905,22.46895905
0.034,1.180171497,0.001180171,0.276360879,0.000276361,82.80893139,22.80893139
0.035,1.207937459,0.001207937,0.282862837,0.000282863,83.01091794,23.01091794
0.036,1.220531975,0.001220532,0.285812096,0.000285812,83.10101218,23.10101218
0.037,1.220096936,0.001220097,0.285710223,0.00028571,83.09791569,23.09791569
0.038,1.208568119,0.001208568,0.283010519,0.000283011,83.01545163,23.01545163
0.039,1.187689565,0.00118769,0.278121386,0.000278121,82.86408777,22.86408777
0.04,1.159027422,0.001159027,0.271409569,0.00027141,82.65190319,22.65190319
0.041,1.123983198,0.001123983,0.263203259,0.000263203,82.38522534,22.38522534
0.042,1.083806383,0.001083806,0.25379505,0.000253795,82.06906305,22.06906305
0.043,1.039606454,0.001039606,0.243444749,0.000243445,81.7074083,21.7074083
0.044,0.992364231,0.000992364,0.232382032,0.000232382,81.303451,21.303451
0.045,0.94294261,0.000942943,0.220808966,0.000220809,80.85973418,20.85973418
0.046,0.892096677,0.000892097,0.208902369,0.000208902,80.37826739,20.37826739
0.047,0.840483204,0.000840483,0.196816037,0.000196816,79.86060974,19.86060974
0.048,0.788669553,0.00078867,0.184682829,0.000184683,79.30793046,19.30793046
0.049,0.737141993,0.000737142,0.172616615,0.000172617,78.72105201,18.72105201
0.05,0.686313469,0.000686313,0.160714094,0.000160714,78.10047939,18.10047939
0.051,0.636530822,0.000636531,0.149056487,0.000149056,77.44641771,17.44641771
0.052,0.588081501,0.000588082,0.137711105,0.000137711,76.75877932,16.75877932
0.053,0.541199779,0.0005412,0.126732807,0.000126733,76.03718117,16.03718117
0.054,0.496072496,0.000496072,0.116165347,0.000116165,75.28093194,15.28093194
0.055,0.452844363,0.000452844,0.10604261,0.000106043,74.48900829,14.48900829
0.056,0.411622838,0.000411623,0.096389762,9.64E-05,73.6600182,13.6600182
0.057,0.372482599,0.000372483,0.087224288,8.72E-05,72.79214874,12.79214874
0.058,0.335469651,0.00033547,0.078556962,7.86E-05,71.8830937,11.8830937
0.059,0.300605065,0.000300605,0.070392718,7.04E-05,70.92995483,10.92995483
0.06,0.267888386,0.000267888,0.062731451,6.27E-05,69.92910668,9.929106681
0.061,0.237300738,0.000237301,0.055568738,5.56E-05,68.87601073,8.876010732
0.062,0.20880762,0.000208808,0.048896501,4.89E-05,67.7649558,7.764955804
0.063,0.182361441,0.000182361,0.042703597,4.27E-05,66.58868926,6.588689262
0.064,0.157903799,0.000157904,0.036976348,3.70E-05,65.33788051,5.337880509
0.065,0.135367516,0.000135368,0.031699025,3.17E-05,64.00031813,4.000318127
0.066,0.114678464,0.000114678,0.026854268,2.69E-05,62.55966632,2.559666317
0.067,0.095757184,9.58E-05,0.022423469,2.24E-05,60.99345626,0.993456255
0.068,0.078520314,7.85E-05,0.01838711,1.84E-05,59.26966952,-0.730330477
0.069,0.062881856,6.29E-05,0.01472505,1.47E-05,57.34053594,-2.659464062
0.07,0.048754272,4.88E-05,0.011416793,1.14E-05,55.13028256,-4.869717443
0.071,0.036049452,3.60E-05,0.008441704,8.44E-06,52.50800221,-7.491997788
0.072,0.02467953,2.47E-05,0.005779208,5.78E-06,49.21676678,-10.78323322
0.073,0.014557604,1.46E-05,0.003408956,3.41E-06,44.631827,-15.368173
0.074,0.005598326,5.60E-06,0.00131096,1.31E-06,36.33119197,-23.66880803
0.075,-0.002281593,-2.28E-06,-0.000534281,-5.34E-07,28.53479241,-31.46520759
0.076,-0.009162967,-9.16E-06,-0.002145693,-2.15E-06,40.61075164,-19.38924836
0.077,-0.015123806,-1.51E-05,-0.003541543,-3.54E-06,44.96325114,-15.03674886
0.078,-0.02023905,-2.02E-05,-0.00473938,-4.74E-06,47.49383126,-12.50616874
0.079,-0.024580366,-2.46E-05,-0.005755987,-5.76E-06,49.18179573,-10.81820427
0.08,-0.028216008,-2.82E-05,-0.006607345,-6.61E-06,50.37994024,-9.62005976
0.081,-0.031210717,-3.12E-05,-0.007308617,-7.31E-06,51.256104,-8.743896002
0.082,-0.033625672,-3.36E-05,-0.007874127,-7.87E-06,51.9034485,-8.096551503
0.083,-0.035518469,-3.55E-05,-0.008317364,-8.32E-06,52.37911378,-7.620886222
0.084,-0.036943141,-3.69E-05,-0.008650979,-8.65E-06,52.72070534,-7.279294661
0.085,-0.037950201,-3.80E-05,-0.008886802,-8.89E-06,52.95431047,-7.045689529
0.086,-0.038586707,-3.86E-05,-0.009035853,-9.04E-06,53.09878334,-6.901216662
0.087,-0.038896354,-3.89E-05,-0.009108363,-9.11E-06,53.16820677,-6.83179323
0.088,-0.038919569,-3.89E-05,-0.009113799,-9.11E-06,53.17338938,-6.826610624
0.089,-0.038693633,-3.87E-05,-0.009060892,-9.06E-06,53.12281903,-6.877180969
0.09,-0.038252801,-3.83E-05,-0.008957662,-8.96E-06,53.02329388,-6.976706122
0.091,-0.037628442,-3.76E-05,-0.008811456,-8.81E-06,52.88035366,-7.119646344
0.092,-0.036849169,-3.68E-05,-0.008628974,-8.63E-06,52.69858289,-7.301417109
0.093,-0.035940988,-3.59E-05,-0.008416305,-8.42E-06,52.48182926,-7.518170737
0.094,-0.034927441,-3.49E-05,-0.008178962,-8.18E-06,52.23336431,-7.766635691
0.095,-0.033829747,-3.38E-05,-0.007921915,-7.92E-06,51.956004,-8.043996
0.096,-0.03266695,-3.27E-05,-0.007649623,-7.65E-06,51.65220083,-8.347799167
0.097,-0.03145606,-3.15E-05,-0.007366069,-7.37E-06,51.32411532,-8.675884684
0.098,-0.030212187,-3.02E-05,-0.007074791,-7.07E-06,50.97367232,-9.026327677
0.099,-0.028948686,-2.89E-05,-0.006778917,-6.78E-06,50.60260617,-9.397393831
0.1,-0.02767728,-2.77E-05,-0.006481192,-6.48E-06,50.21249717,-9.787502834
0.101,-0.02640819,-2.64E-05,-0.006184009,-6.18E-06,49.80480168,-10.19519832
0.102,-0.025150256,-2.52E-05,-0.005889438,-5.89E-06,49.38087714,-10.61912286
0.103,-0.023911053,-2.39E-05,-0.005599254,-5.60E-06,48.94200317,-11.05799683
0.104,-0.022697004,-2.27E-05,-0.00531496,-5.31E-06,48.48939954,-11.51060046
0.105,-0.021513479,-2.15E-05,-0.005037813,-5.04E-06,48.0242417,-11.9757583
0.106,-0.020364899,-2.04E-05,-0.00476885,-4.77E-06,47.54767421,-12.45232579
0.107,-0.01925483,-1.93E-05,-0.004508905,-4.51E-06,47.06082252,-12.93917748
0.108,-0.018186064,-1.82E-05,-0.004258632,-4.26E-06,46.56480331,-13.43519669
0.109,-0.017160709,-1.72E-05,-0.004018525,-4.02E-06,46.06073345,-13.93926655
0.11,-0.016180258,-1.62E-05,-0.003788933,-3.79E-06,45.54973787,-14.45026213
0.111,-0.015245665,-1.52E-05,-0.003570079,-3.57E-06,45.03295622,-14.96704378
0.112,-0.014357406,-1.44E-05,-0.003362075,-3.36E-06,44.51154835,-15.48845165
0.113,-0.013515543,-1.35E-05,-0.003164936,-3.16E-06,43.98669864,-16.01330136
0.114,-0.012719777,-1.27E-05,-0.002978592,-2.98E-06,43.45961901,-16.54038099
0.115,-0.011969502,-1.20E-05,-0.002802899,-2.80E-06,42.93155053,-17.06844947
0.116,-0.011263847,-1.13E-05,-0.002637656,-2.64E-06,42.40376352,-17.59623648
0.117,-0.010601721,-1.06E-05,-0.002482606,-2.48E-06,41.87755597,-18.12244403
0.118,-0.009981851,-9.98E-06,-0.002337451,-2.34E-06,41.35425021,-18.64574979
0.119,-0.009402816,-9.40E-06,-0.002201858,-2.20E-06,40.83518759,-19.16481241
0.12,-0.008863079,-8.86E-06,-0.002075468,-2.08E-06,40.32172128,-19.67827872
0.121,-0.008361013,-8.36E-06,-0.001957899,-1.96E-06,39.81520691,-20.18479309
0.122,-0.007894927,-7.89E-06,-0.001848756,-1.85E-06,39.31699137,-20.68300863
0.123,-0.007463087,-7.46E-06,-0.001747632,-1.75E-06,38.8283996,-21.1716004
0.124,-0.007063737,-7.06E-06,-0.001654116,-1.65E-06,38.35071984,-21.64928016
0.125,-0.006695113,-6.70E-06,-0.001567795,-1.57E-06,37.88518756,-22.11481244
0.126,-0.00635546,-6.36E-06,-0.001488259,-1.49E-06,37.43296848,-22.56703152
0.127,-0.006043042,-6.04E-06,-0.0014151,-1.42E-06,36.99514133,-23.00485867
0.128,-0.005756157,-5.76E-06,-0.00134792,-1.35E-06,36.57268092,-23.42731908
0.129,-0.00549314,-5.49E-06,-0.001286329,-1.29E-06,36.16644213,-23.83355787
0.13,-0.005252376,-5.25E-06,-0.00122995,-1.23E-06,35.77714573,-24.22285427
0.131,-0.005032304,-5.03E-06,-0.001178415,-1.18E-06,35.40536643,-24.59463357
0.132,-0.00483142,-4.83E-06,-0.001131374,-1.13E-06,35.05152399,-24.94847601
0.133,-0.004648282,-4.65E-06,-0.001088489,-1.09E-06,34.71587769,-25.28412231
0.134,-0.004481514,-4.48E-06,-0.001049437,-1.05E-06,34.39852451,-25.60147549
0.135,-0.004329808,-4.33E-06,-0.001013912,-1.01E-06,34.09940117,-25.90059883
0.136,-0.004191921,-4.19E-06,-0.000981622,-9.82E-07,33.81828993,-26.18171007
0.137,-0.004066679,-4.07E-06,-0.000952295,-9.52E-07,33.55482779,-26.44517221
0.138,-0.003952979,-3.95E-06,-0.000925669,-9.26E-07,33.30851879,-26.69148121
0.139,-0.003849781,-3.85E-06,-0.000901504,-9.02E-07,33.0787488,-26.9212512
0.14,-0.003756113,-3.76E-06,-0.000879569,-8.80E-07,32.86480197,-27.13519803
0.141,-0.003671068,-3.67E-06,-0.000859654,-8.60E-07,32.66587851,-27.33412149
0.142,-0.003593802,-3.59E-06,-0.000841561,-8.42E-07,32.4811127,-27.5188873
0.143,-0.003523531,-3.52E-06,-0.000825106,-8.25E-07,32.30959091,-27.69040909
0.144,-0.003459529,-3.46E-06,-0.000810118,-8.10E-07,32.1503687,-27.8496313
0.145,-0.003401127,-3.40E-06,-0.000796442,-7.96E-07,32.00248688,-27.99751312
0.146,-0.00334771,-3.35E-06,-0.000783934,-7.84E-07,31.86498598,-28.13501402
0.147,-0.003298713,-3.30E-06,-0.00077246,-7.72E-07,31.73691903,-28.26308097
0.148,-0.003253619,-3.25E-06,-0.0007619,-7.62E-07,31.61736243,-28.38263757
0.149,-0.003211958,-3.21E-06,-0.000752144,-7.52E-07,31.50542503,-28.49457497
0.15,-0.003173301,-3.17E-06,-0.000743092,-7.43E-07,31.40025526,-28.59974474
0.151,-0.003137263,-3.14E-06,-0.000734653,-7.35E-07,31.30104669,-28.69895331
0.152,-0.003103492,-3.10E-06,-0.000726745,-7.27E-07,31.20704187,-28.79295813
0.153,-0.003071675,-3.07E-06,-0.000719294,-7.19E-07,31.11753484,-28.88246516
0.154,-0.00304153,-3.04E-06,-0.000712236,-7.12E-07,31.03187242,-28.96812758
0.155,-0.003012807,-3.01E-06,-0.000705509,-7.06E-07,30.94945445,-29.05054555
0.156,-0.002985281,-2.99E-06,-0.000699064,-6.99E-07,30.86973319,-29.13026681
0.157,-0.002958756,-2.96E-06,-0.000692852,-6.93E-07,30.79221199,-29.20778801
0.158,-0.002933059,-2.93E-06,-0.000686835,-6.87E-07,30.71644353,-29.28355647
0.159,-0.002908037,-2.91E-06,-0.000680975,-6.81E-07,30.64202749,-29.35797251
0.16,-0.00288356,-2.88E-06,-0.000675243,-6.75E-07,30.56860814,-29.43139186
0.161,-0.002859513,-2.86E-06,-0.000669613,-6.70E-07,30.49587157,-29.50412843
0.162,-0.002835801,-2.84E-06,-0.00066406,-6.64E-07,30.42354294,-29.57645706
0.163,-0.002812339,-2.81E-06,-0.000658566,-6.59E-07,30.35138359,-29.64861641
0.164,-0.002789061,-2.79E-06,-0.000653115,-6.53E-07,30.27918828,-29.72081172
0.165,-0.002765908,-2.77E-06,-0.000647693,-6.48E-07,30.20678239,-29.79321761
0.166,-0.002742834,-2.74E-06,-0.00064229,-6.42E-07,30.13401924,-29.86598076
0.167,-0.002719803,-2.72E-06,-0.000636897,-6.37E-07,30.06077757,-29.93922243
0.168,-0.002696786,-2.70E-06,-0.000631507,-6.32E-07,29.98695907,-30.01304093
0.169,-0.002673763,-2.67E-06,-0.000626115,-6.26E-07,29.91248611,-30.08751389
0.17,-0.002650718,-2.65E-06,-0.000620719,-6.21E-07,29.83729956,-30.16270044
0.171,-0.002627643,-2.63E-06,-0.000615315,-6.15E-07,29.76135681,-30.23864319
0.172,-0.002604534,-2.60E-06,-0.000609904,-6.10E-07,29.68462988,-30.31537012
0.173,-0.002581391,-2.58E-06,-0.000604485,-6.04E-07,29.60710371,-30.39289629
0.174,-0.002558216,-2.56E-06,-0.000599058,-5.99E-07,29.52877456,-30.47122544
0.175,-0.002535018,-2.54E-06,-0.000593625,-5.94E-07,29.44964857,-30.55035143
0.176,-0.002511803,-2.51E-06,-0.000588189,-5.88E-07,29.36974039,-30.63025961
0.177,-0.002488583,-2.49E-06,-0.000582752,-5.83E-07,29.28907196,-30.71092804
0.178,-0.00246537,-2.47E-06,-0.000577316,-5.77E-07,29.20767145,-30.79232855
0.179,-0.002442177,-2.44E-06,-0.000571885,-5.72E-07,29.12557217,-30.87442783
0.18,-0.002419018,-2.42E-06,-0.000566462,-5.66E-07,29.04281172,-30.95718828
0.181,-0.002395908,-2.40E-06,-0.00056105,-5.61E-07,28.95943116,-31.04056884
0.182,-0.002372861,-2.37E-06,-0.000555653,-5.56E-07,28.8754742,-31.1245258
0.183,-0.002349892,-2.35E-06,-0.000550274,-5.50E-07,28.79098663,-31.20901337
0.184,-0.002327016,-2.33E-06,-0.000544918,-5.45E-07,28.70601566,-31.29398434
0.185,-0.002304247,-2.30E-06,-0.000539586,-5.40E-07,28.6206094,-31.3793906
0.186,-0.002281599,-2.28E-06,-0.000534282,-5.34E-07,28.53481641,-31.46518359
0.187,-0.002259086,-2.26E-06,-0.00052901,-5.29E-07,28.44868526,-31.55131474
0.188,-0.002236721,-2.24E-06,-0.000523773,-5.24E-07,28.36226419,-31.63773581
0.189,-0.002214515,-2.21E-06,-0.000518573,-5.19E-07,28.27560078,-31.72439922
0.19,-0.00219248,-2.19E-06,-0.000513413,-5.13E-07,28.18874165,-31.81125835
0.191,-0.002170627,-2.17E-06,-0.000508296,-5.08E-07,28.10173229,-31.89826771
0.192,-0.002148965,-2.15E-06,-0.000503223,-5.03E-07,28.01461681,-31.98538319
0.193,-0.002127504,-2.13E-06,-0.000498198,-4.98E-07,27.92743776,-32.07256224
0.194,-0.002106252,-2.11E-06,-0.000493221,-4.93E-07,27.84023605,-32.15976395
0.195,-0.002085216,-2.09E-06,-0.000488295,-4.88E-07,27.75305081,-32.24694919
0.196,-0.002064403,-2.06E-06,-0.000483421,-4.83E-07,27.66591929,-32.33408071
0.197,-0.002043819,-2.04E-06,-0.000478601,-4.79E-07,27.57887682,-32.42112318
0.198,-0.002023468,-2.02E-06,-0.000473836,-4.74E-07,27.49195677,-32.50804323
0.199,-0.002003356,-2.00E-06,-0.000469126,-4.69E-07,27.40519051,-32.59480949
0.2,-0.001983485,-1.98E-06,-0.000464473,-4.64E-07,27.31860742,-32.68139258
0.201,-0.001963859,-1.96E-06,-0.000459877,-4.60E-07,27.23223489,-32.76776511
0.202,-0.00194448,-1.94E-06,-0.000455339,-4.55E-07,27.14609831,-32.85390169
0.203,-0.00192535,-1.93E-06,-0.000450859,-4.51E-07,27.06022116,-32.93977884
0.204,-0.001906469,-1.91E-06,-0.000446438,-4.46E-07,26.97462501,-33.02537499
0.205,-0.001887839,-1.89E-06,-0.000442076,-4.42E-07,26.88932956,-33.11067044
0.206,-0.00186946,-1.87E-06,-0.000437772,-4.38E-07,26.80435273,-33.19564727
0.207,-0.001851331,-1.85E-06,-0.000433526,-4.34E-07,26.7197107,-33.2802893
0.208,-0.001833452,-1.83E-06,-0.00042934,-4.29E-07,26.63541798,-33.36458202
0.209,-0.001815821,-1.82E-06,-0.000425211,-4.25E-07,26.55148747,-33.44851253
0.21,-0.001798436,-1.80E-06,-0.00042114,-4.21E-07,26.46793056,-33.53206944
0.211,-0.001781297,-1.78E-06,-0.000417127,-4.17E-07,26.38475717,-33.61524283
0.212,-0.001764401,-1.76E-06,-0.00041317,-4.13E-07,26.30197588,-33.69802412
0.213,-0.001747746,-1.75E-06,-0.00040927,-4.09E-07,26.21959393,-33.78040607
0.214,-0.001731328,-1.73E-06,-0.000405425,-4.05E-07,26.13761737,-33.86238263
0.215,-0.001715146,-1.72E-06,-0.000401636,-4.02E-07,26.05605112,-33.94394888
0.216,-0.001699196,-1.70E-06,-0.000397901,-3.98E-07,25.974899,-34.025101
0.217,-0.001683475,-1.68E-06,-0.00039422,-3.94E-07,25.89416387,-34.10583613
0.218,-0.00166798,-1.67E-06,-0.000390591,-3.91E-07,25.81384768,-34.18615232
0.219,-0.001652708,-1.65E-06,-0.000387015,-3.87E-07,25.73395151,-34.26604849
0.22,-0.001637655,-1.64E-06,-0.00038349,-3.83E-07,25.6544757,-34.3455243
0.221,-0.001622817,-1.62E-06,-0.000380015,-3.80E-07,25.57541986,-34.42458014
0.222,-0.001608191,-1.61E-06,-0.00037659,-3.77E-07,25.49678297,-34.50321703
0.223,-0.001593774,-1.59E-06,-0.000373214,-3.73E-07,25.41856342,-34.58143658
0.224,-0.001579561,-1.58E-06,-0.000369886,-3.70E-07,25.3407591,-34.6592409
0.225,-0.00156555,-1.57E-06,-0.000366605,-3.67E-07,25.26336742,-34.73663258
0.226,-0.001551736,-1.55E-06,-0.00036337,-3.63E-07,25.18638537,-34.81361463
0.227,-0.001538116,-1.54E-06,-0.000360181,-3.60E-07,25.1098096,-34.8901904
0.228,-0.001524686,-1.52E-06,-0.000357036,-3.57E-07,25.03363643,-34.96636357
0.229,-0.001511443,-1.51E-06,-0.000353935,-3.54E-07,24.95786191,-35.04213809
0.23,-0.001498382,-1.50E-06,-0.000350876,-3.51E-07,24.88248187,-35.11751813
0.231,-0.001485502,-1.49E-06,-0.00034786,-3.48E-07,24.80749192,-35.19250808
0.232,-0.001472797,-1.47E-06,-0.000344885,-3.45E-07,24.73288754,-35.26711246
0.233,-0.001460265,-1.46E-06,-0.00034195,-3.42E-07,24.65866408,-35.34133592
0.234,-0.001447903,-1.45E-06,-0.000339056,-3.39E-07,24.58481676,-35.41518324
0.235,-0.001435706,-1.44E-06,-0.000336199,-3.36E-07,24.51134078,-35.48865922
0.236,-0.001423673,-1.42E-06,-0.000333382,-3.33E-07,24.43823127,-35.56176873
0.237,-0.001411799,-1.41E-06,-0.000330601,-3.31E-07,24.36548332,-35.63451668
0.238,-0.001400081,-1.40E-06,-0.000327857,-3.28E-07,24.29309205,-35.70690795
0.239,-0.001388517,-1.39E-06,-0.000325149,-3.25E-07,24.22105257,-35.77894743
0.24,-0.001377103,-1.38E-06,-0.000322476,-3.22E-07,24.14936003,-35.85063997
0.241,-0.001365838,-1.37E-06,-0.000319838,-3.20E-07,24.07800963,-35.92199037
0.242,-0.001354716,-1.35E-06,-0.000317234,-3.17E-07,24.00699661,-35.99300339
